iter	Passed	Remaining
0	17662	3514780
1	35149	3479775
2	52522	3448961
3	70004	3430218
4	87457	3410858
5	104860	3390503
6	122507	3377718
7	140570	3373686
8	158624	3366363
9	177387	3370362
10	196007	3367765
11	214811	3365387
12	233157	3353886
13	251426	3340377
14	269277	3321089
15	286785	3298030
16	304282	3275513
17	321822	3253979
18	339116	3230532
19	356427	3207845
20	373841	3186554
21	391158	3164828
22	408489	3143590
23	425921	3123426
24	443400	3103806
25	460551	3082152
26	477959	3062482
27	495145	3041609
28	512543	3022242
29	529731	3001814
30	546890	2981434
31	564440	2963313
32	581642	2943462
33	599001	2924535
34	616157	2904743
35	633350	2885263
36	650709	2866639
37	668085	2848154
38	685389	2829429
39	702699	2810796
40	719962	2792050
41	737113	2772952
42	754331	2754188
43	771592	2735646
44	788702	2716640
45	806023	2698426
46	823173	2679693
47	840435	2661380
48	857732	2643216
49	875115	2625346
50	892595	2607780
51	909780	2589374
52	927118	2571441
53	944254	2552983
54	961575	2535063
55	978960	2517326
56	996144	2499099
57	1013508	2481348
58	1030702	2463203
59	1048077	2445513
60	1065406	2427730
61	1082681	2409839
62	1099880	2391803
63	1117013	2373652
64	1134339	2355936
65	1151535	2337965
66	1168823	2320202
67	1185958	2302155
68	1203177	2284293
69	1220462	2266574
70	1237708	2248793
71	1255292	2231630
72	1272505	2213811
73	1289780	2196112
74	1306979	2178299
75	1324187	2160516
76	1341439	2142819
77	1358554	2124918
78	1375884	2107367
79	1392982	2089474
80	1410215	2071798
81	1427533	2054256
82	1444742	2036564
83	1462127	2019128
84	1479296	2001401
85	1496575	1983833
86	1513690	1966057
87	1530972	1948510
88	1548113	1930793
89	1565733	1913674
90	1583027	1896154
91	1600088	1878364
92	1617554	1861057
93	1634684	1843368
94	1651963	1825854
95	1669132	1808226
96	1686309	1790617
97	1703556	1773089
98	1720635	1755395
99	1737957	1737957
100	1755051	1720298
101	1772317	1702814
102	1789431	1685192
103	1806839	1667852
104	1824068	1650347
105	1841110	1632682
106	1858528	1615356
107	1875701	1597819
108	1893048	1580434
109	1910251	1562932
110	1927472	1545450
111	1944752	1528020
112	1961885	1510478
113	1979359	1493200
114	1996512	1475683
115	2013741	1458226
116	2031069	1440843
117	2048300	1423394
118	2065507	1405933
119	2082585	1388390
120	2099892	1371003
121	2116972	1353474
122	2134257	1336079
123	2151405	1318603
124	2168780	1301268
125	2186040	1283864
126	2203078	1266336
127	2220375	1248961
128	2237530	1231508
129	2254838	1214143
130	2271966	1196684
131	2289138	1179253
132	2306321	1161831
133	2323380	1144351
134	2340710	1127008
135	2358032	1109662
136	2375238	1092263
137	2392408	1074850
138	2409639	1057467
139	2426927	1040111
140	2443997	1022665
141	2461288	1005314
142	2478573	987962
143	2495782	970582
144	2513042	953223
145	2530380	935894
146	2547715	918563
147	2564777	901138
148	2582096	883804
149	2599192	866397
150	2616448	849046
151	2633571	831654
152	2650729	814276
153	2667943	796918
154	2685153	779560
155	2702426	762222
156	2719913	744944
157	2737165	727601
158	2754341	710238
159	2771567	692891
160	2788798	675547
161	2805804	658151
162	2823044	640813
163	2840206	623459
164	2857432	606122
165	2874597	588773
166	2891871	571447
167	2909284	554149
168	2926318	536780
169	2943649	519467
170	2960742	502114
171	2977984	484788
172	2995199	467458
173	3012461	450137
174	3029642	432806
175	3046705	415459
176	3064127	398163
177	3081425	380850
178	3098717	363536
179	3115937	346215
180	3133112	328890
181	3150423	311580
182	3167531	294251
183	3184817	276940
184	3201976	259619
185	3219248	242309
186	3236468	224995
187	3253651	207679
188	3271039	190377
189	3288199	173063
190	3305476	155755
191	3322661	138444
192	3339994	121139
193	3357279	103833
194	3374474	86524
195	3391877	69221
196	3408993	51913
197	3426270	34608
198	3443530	17304
199	3460939	0
